City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Vaini,TO,82.56,scattered clouds,-21.2,-175.2,Keleti Beach Resort
1,Atuona,PF,78.39,overcast clouds,-9.8,-139.0333,Villa Enata
2,Tay Ninh,VN,77.4,overcast clouds,11.3,106.1,Thanh Tuyền Hotel
4,Butaritari,KI,81.7,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
17,Rikitea,PF,75.58,light rain,-23.1203,-134.9692,People ThankYou
25,Yanam,IN,81.0,overcast clouds,16.7333,82.2167,The Regency Hotel
26,Alofi,NU,77.27,light rain,-19.0595,-169.9187,Taloa Heights
29,Bullhead City,US,86.29,clear sky,35.1478,-114.5683,Harrah's Laughlin
34,Kapaa,US,82.38,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
43,Acapulco,MX,81.21,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
44,Santo Antonio Do Leverger,BR,84.58,overcast clouds,-15.8656,-56.0767,Chácara Do SINETRAN
47,Victoria,HK,75.25,overcast clouds,22.2855,114.1577,Mini Hotel Central
51,Tiarei,PF,86.02,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
53,Padang,ID,77.05,overcast clouds,-0.9492,100.3543,Mercure Padang
57,Bowen,AU,81.55,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
62,Kudahuvadhoo,MV,83.1,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
70,Pasighat,IN,78.73,scattered clouds,28.0667,95.3333,Siang Guest House
74,Tecoanapa,MX,81.57,overcast clouds,16.5167,-98.75,Hotel Manglares
75,Adrar,MR,84.36,overcast clouds,20.5022,-10.0711,
78,Kavaratti,IN,81.82,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
87,Hithadhoo,MV,81.77,overcast clouds,-0.6,73.0833,Scoop Guest House
89,Tank,PK,75.42,clear sky,32.2217,70.3793,Gula Jan Abdulai
91,Lorengau,PG,86.05,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
94,Guaymas,MX,82.89,broken clouds,27.9333,-110.9,Hotel Armida
96,Puerto Escondido,MX,77.83,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
107,Wattegama,LK,77.92,few clouds,6.7989,81.4808,
108,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
110,Beira,MZ,78.1,overcast clouds,-19.8436,34.8389,Beira Terrace Hotel
113,Georgetown,MY,81.9,overcast clouds,5.4112,100.3354,Cititel Penang
128,Ixtapa,MX,85.23,thunderstorm,20.7,-105.2,Hotel Plaza Providencia
129,Mogadishu,SO,78.35,broken clouds,2.0371,45.3438,Hotel Juba
130,Srandakan,ID,83.59,broken clouds,-7.9386,110.2506,Puri Brata
133,Abu Dhabi,AE,86.63,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
138,Gigmoto,PH,83.41,moderate rain,13.7796,124.39,Cj's Travellers Inn
139,Diffa,NE,84.02,scattered clouds,13.3154,12.6113,ProDAF/Diffa
140,Cockburn Town,TC,82.27,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
141,Pringsewu,ID,80.42,overcast clouds,-5.3582,104.9744,Urban Style by Front One
142,Nabire,ID,86.4,broken clouds,-3.3667,135.4833,Hotel Nusantara Nabire
149,Belmonte,BR,77.5,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
151,Kavieng,PG,84.9,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
155,Waingapu,ID,86.16,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
156,Dwarka,IN,80.62,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
157,Narasannapeta,IN,78.75,overcast clouds,18.4167,84.05,G.lingaraju home
161,Tahoua,NE,80.49,overcast clouds,14.8888,5.2692,Bungalows Guesthouse
162,Hilo,US,77.79,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
168,Boyolangu,ID,85.15,broken clouds,-8.1181,111.8935,Yos ega cv
174,Faanui,PF,80.56,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
177,Flinders,AU,75.18,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
188,Poso,ID,86.34,few clouds,-1.3959,120.7524,Hotel 77 Poso
189,Lala,PH,87.22,overcast clouds,7.9745,123.7458,Dennis
191,Morondava,MG,77.0,broken clouds,-20.2833,44.2833,La Case Bambou
198,Bilma,NE,82.09,broken clouds,18.6853,12.9164,Expeditions Ténére voyages
206,San Andres,CO,83.3,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
207,Karaton,ID,82.96,light rain,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
216,Kyaikkami,MM,75.97,overcast clouds,16.08,97.5675,St. joseph catholic church
217,Sao Filipe,CV,79.09,clear sky,14.8961,-24.4956,Hotel Xaguate
218,Poum,NC,76.35,light rain,-20.2333,164.0167,Gîte kajeon
222,Mana,GF,79.2,overcast clouds,5.6592,-53.7767,LE SAMANA
224,Cabedelo,BR,77.86,broken clouds,-6.9811,-34.8339,Hotel Pigalle
226,San Pedro,PH,82.35,broken clouds,14.35,121.0167,Villa Veronica Resort Private Pool
227,Biak,ID,83.57,few clouds,-0.9131,122.8766,Penginapan Kim
