City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rio Grande,BR,-32.035,-52.0986,55.94,70,0,8.08,clear sky
1,Dunedin,NZ,-45.8742,170.5036,52.81,85,96,13.0,overcast clouds
2,Pangody,RU,65.85,74.4859,38.77,96,100,17.4,light rain
3,Cape Town,ZA,-33.9258,18.4232,53.28,69,0,4.61,clear sky
4,Ushuaia,AR,-54.8,-68.3,51.46,58,75,6.91,broken clouds
5,Albany,US,42.6001,-73.9662,51.75,77,80,5.99,broken clouds
6,Tuktoyaktuk,CA,69.4541,-133.0374,24.8,93,75,5.75,broken clouds
7,Rikitea,PF,-23.1203,-134.9692,75.58,76,16,13.98,light rain
8,Pombas,CV,17.1503,-25.0201,74.98,78,2,8.3,clear sky
9,Axim,GH,4.8699,-2.2405,77.05,89,74,6.22,moderate rain
10,Cherskiy,RU,68.75,161.3,-5.01,99,98,2.62,overcast clouds
11,Mitchell,US,43.7094,-98.0298,64.11,42,1,4.0,clear sky
12,Mizoch,UA,50.4,26.15,42.24,68,100,8.95,overcast clouds
13,Vostok,RU,46.4856,135.8833,29.89,36,27,5.53,scattered clouds
14,Busselton,AU,-33.65,115.3333,65.05,71,14,13.91,few clouds
15,Cabo San Lucas,MX,22.8909,-109.9124,86.31,58,1,18.41,clear sky
16,Jamestown,US,42.097,-79.2353,52.52,91,75,5.99,broken clouds
17,Sobolevo,RU,54.4299,31.8996,41.31,85,95,11.72,overcast clouds
18,Husavik,IS,66.0449,-17.3389,33.71,94,100,22.82,snow
19,Puerto Ayora,EC,-0.7393,-90.3518,70.56,89,100,8.01,overcast clouds
20,Bredasdorp,ZA,-34.5322,20.0403,48.88,69,16,3.29,few clouds
21,Manitouwadge,CA,49.1215,-85.8403,45.32,77,8,4.88,clear sky
22,Mayumba,GA,-3.432,10.6554,75.96,87,100,6.67,light rain
23,Rorvik,NO,64.8621,11.2373,46.24,67,97,18.3,overcast clouds
24,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,88,0,5.75,clear sky
25,Hobart,AU,-42.8794,147.3294,60.03,60,75,4.0,broken clouds
26,Tuatapere,NZ,-46.1333,167.6833,53.47,70,63,7.72,broken clouds
27,Sola,VU,-13.8833,167.55,88.47,74,75,5.75,broken clouds
28,Carnarvon,AU,-24.8667,113.6333,69.87,56,6,6.91,clear sky
29,Ola,RU,59.5833,151.2833,21.25,44,100,20.49,overcast clouds
30,Ouallam,NE,14.3188,2.0866,86.34,42,100,12.64,overcast clouds
31,Severo-Kurilsk,RU,50.6789,156.125,40.35,82,46,46.77,scattered clouds
32,Castro,BR,-24.7911,-50.0119,56.48,98,100,8.34,overcast clouds
33,Bluff,NZ,-46.6,168.3333,53.06,63,6,14.2,clear sky
34,Polunochnoye,RU,60.8697,60.4153,37.51,81,98,8.46,overcast clouds
35,Saint George,US,37.1041,-113.5841,77.47,16,1,8.05,clear sky
36,Porto Velho,BR,-8.7619,-63.9039,77.05,88,0,2.3,clear sky
37,Vaini,TO,-21.2,-175.2,80.76,83,20,11.5,few clouds
38,Aboisso,CI,5.4678,-3.2071,74.62,96,38,2.08,moderate rain
39,Hithadhoo,MV,-0.6,73.0833,81.77,77,100,12.77,overcast clouds
40,Leshukonskoye,RU,64.8989,45.7622,35.82,97,100,10.09,overcast clouds
41,Oktyabrskiy,RU,54.4815,53.471,48.02,92,100,8.57,light rain
42,Sarangani,PH,5.4033,125.4636,84.07,76,100,17.13,overcast clouds
43,Salalah,OM,17.0151,54.0924,77.09,73,75,4.61,broken clouds
44,Avarua,CK,-21.2078,-159.775,77.05,78,75,10.36,broken clouds
45,Pangnirtung,CA,66.1451,-65.7125,30.63,52,100,6.26,overcast clouds
46,Lebu,CL,-37.6167,-73.65,50.94,85,0,18.79,clear sky
47,Mataura,NZ,-46.1927,168.8643,57.25,59,65,6.67,broken clouds
48,Souillac,MU,-20.5167,57.5167,73.36,78,40,14.97,scattered clouds
49,Easley,US,34.8298,-82.6015,58.57,65,1,1.01,clear sky
50,Yeppoon,AU,-23.1333,150.7333,80.38,49,0,13.8,clear sky
51,Saskylakh,RU,71.9167,114.0833,17.74,95,100,9.17,light snow
52,Karratha,AU,-20.7377,116.8463,75.92,42,4,8.61,clear sky
53,Tiksi,RU,71.6872,128.8694,10.04,90,99,10.4,overcast clouds
54,Yellowknife,CA,62.456,-114.3525,36.41,99,90,6.91,light rain
55,Chokurdakh,RU,70.6333,147.9167,-6.36,100,91,2.77,overcast clouds
56,Piracuruca,BR,-3.9281,-41.7092,80.85,72,95,6.62,overcast clouds
57,Ayan,RU,56.45,138.1667,25.5,45,40,17.94,scattered clouds
58,Mar Del Plata,AR,-38.0023,-57.5575,53.62,42,0,1.01,clear sky
59,San Vicente,AR,-26.6167,-54.1333,57.94,99,31,4.03,light rain
60,Junction City,US,39.0286,-96.8314,66.4,50,1,1.01,clear sky
61,Punta Arenas,CL,-53.15,-70.9167,48.31,76,0,12.66,clear sky
62,Kirakira,SB,-10.4544,161.9205,85.06,68,31,5.14,scattered clouds
63,Sitka,US,57.0531,-135.33,46.29,66,75,6.91,broken clouds
64,Novyy Nekouz,RU,57.9029,38.07,37.06,91,100,6.98,moderate rain
65,Linfen,CN,36.0889,111.5189,52.95,55,0,3.58,clear sky
66,Sioux Lookout,CA,50.1001,-91.917,53.98,81,20,0.0,few clouds
67,Gaoual,GN,11.75,-13.2,74.64,92,100,3.11,light rain
68,Hungund,IN,16.0667,76.05,70.86,86,100,10.11,overcast clouds
69,Teyateyaneng,LS,-29.1472,27.7489,41.49,32,0,3.67,clear sky
70,Ust-Karsk,RU,52.7011,118.8077,29.3,57,31,0.38,scattered clouds
71,Bengkulu,ID,-3.8004,102.2655,73.83,96,100,6.13,overcast clouds
72,Kushmurun,KZ,52.4503,64.6311,44.98,52,97,8.5,overcast clouds
73,Piranhas,BR,-16.4269,-51.8222,77.83,74,56,4.36,broken clouds
74,Vallenar,CL,-28.5708,-70.7581,65.53,45,0,2.35,clear sky
75,Juneau,US,58.3019,-134.4197,41.0,79,75,0.0,broken clouds
76,Georgetown,MY,5.4112,100.3354,80.89,89,40,1.01,scattered clouds
77,Khatanga,RU,71.9667,102.5,32.77,98,100,12.3,light snow
78,Huarmey,PE,-10.0681,-78.1522,64.08,85,100,9.84,overcast clouds
79,Hami,CN,42.8,93.45,50.31,26,0,7.76,clear sky
80,Davila,PH,18.4726,120.5763,82.38,74,19,19.73,few clouds
81,Cidreira,BR,-30.1811,-50.2056,60.31,82,61,12.62,broken clouds
82,Palmer,US,42.1584,-72.3287,53.62,70,75,11.5,broken clouds
83,Dod Ballapur,IN,13.2919,77.5431,71.44,96,95,10.31,overcast clouds
84,Lutkun,RU,41.4808,47.6858,52.16,83,86,1.41,overcast clouds
85,Butaritari,KI,3.0707,172.7902,81.7,72,31,12.26,scattered clouds
86,Dikson,RU,73.5069,80.5464,31.15,99,100,6.06,light snow
87,Tasiilaq,GL,65.6145,-37.6368,28.56,43,29,13.38,scattered clouds
88,Kununurra,AU,-15.7667,128.7333,93.18,38,100,10.36,overcast clouds
89,Kapaa,US,22.0752,-159.319,82.38,77,90,16.11,moderate rain
90,Hermanus,ZA,-34.4187,19.2345,52.9,70,0,6.31,clear sky
91,Margate,GB,51.3813,1.3862,57.31,82,99,1.99,overcast clouds
92,Pandan,PH,14.0453,124.1694,82.09,84,79,9.91,heavy intensity rain
93,Namibe,AO,-15.1961,12.1522,62.89,89,18,5.21,few clouds
94,Ugoofaaru,MV,5.6667,73.0,80.78,77,100,18.66,moderate rain
95,Ponta Delgada,PT,37.7333,-25.6667,72.32,100,75,12.66,broken clouds
96,Nantucket,US,41.2835,-70.0995,60.1,70,1,11.5,clear sky
97,Constitucion,CL,-35.3333,-72.4167,52.97,79,0,11.01,clear sky
98,Batar,RO,46.7,21.8167,37.78,77,17,3.49,light rain
99,Sangar,RU,63.9242,127.4739,10.62,80,69,1.45,broken clouds
100,Port Alfred,ZA,-33.5906,26.891,54.01,69,80,9.37,broken clouds
101,Tanda,IN,26.55,82.65,76.32,92,100,13.15,overcast clouds
102,Krasnoyarskiy,RU,51.965,59.8967,47.66,46,100,8.63,overcast clouds
103,Conneaut,US,41.9476,-80.5542,61.11,52,82,20.89,broken clouds
104,Yar-Sale,RU,66.8333,70.8333,39.88,92,100,17.63,overcast clouds
105,Haines Junction,CA,60.7522,-137.5108,33.75,51,100,1.14,overcast clouds
106,Norman Wells,CA,65.282,-126.8329,28.44,86,90,0.0,overcast clouds
107,Hilo,US,19.7297,-155.09,85.28,74,20,8.05,light rain
108,Talaya,RU,61.3833,152.75,7.12,79,100,16.6,overcast clouds
109,Ganta,LR,7.3022,-8.5308,69.39,93,6,0.87,clear sky
110,Pundaguitan,PH,6.3711,126.1689,83.23,76,100,7.81,overcast clouds
111,Kaitangata,NZ,-46.2817,169.8464,51.91,87,97,8.39,overcast clouds
112,Taywarah,AF,33.35,64.4167,33.04,29,0,2.75,clear sky
113,Nemuro,JP,43.3236,145.575,46.83,59,1,7.76,clear sky
114,Preili,LV,56.2944,26.7246,38.21,94,14,7.18,few clouds
115,Tashla,RU,51.7716,52.7427,50.63,43,100,6.44,light rain
116,Saint-Joseph,RE,-21.3667,55.6167,70.16,77,20,8.57,few clouds
117,Lazaro Cardenas,MX,17.9583,-102.2,81.01,81,4,5.57,clear sky
118,Shingu,JP,33.7333,135.9833,61.79,65,100,3.49,overcast clouds
119,Kodiak,US,57.79,-152.4072,44.11,81,90,33.38,moderate rain
120,Barrow,US,71.2906,-156.7887,21.22,63,90,8.05,overcast clouds
121,Atuona,PF,-9.8,-139.0333,78.39,71,100,18.48,overcast clouds
122,Bjornevatn,NO,69.6672,29.9847,35.94,87,90,25.32,light snow
123,Saint-Augustin,CA,51.226,-58.6502,43.32,89,100,17.92,overcast clouds
124,Aswan,EG,24.0934,32.907,79.9,21,0,16.11,clear sky
125,Victoria,HK,22.2855,114.1577,73.33,78,89,1.01,overcast clouds
126,Tuskegee,US,32.424,-85.6916,59.95,100,0,5.19,clear sky
127,Tavricheskoye,RU,54.5851,73.6395,30.11,86,8,6.51,clear sky
128,Vanimo,PG,-2.6741,141.3028,86.94,64,41,8.16,scattered clouds
129,Penzance,GB,50.1186,-5.5371,58.77,91,100,20.45,overcast clouds
130,Srandakan,ID,-7.9386,110.2506,83.59,68,78,2.42,broken clouds
131,Wuda,CN,39.4994,106.7117,47.07,32,36,8.28,scattered clouds
132,New Norfolk,AU,-42.7826,147.0587,59.67,50,100,5.01,overcast clouds
133,Arraial Do Cabo,BR,-22.9661,-42.0278,69.71,86,100,5.46,overcast clouds
134,Ostrovnoy,RU,68.0531,39.5131,38.48,82,100,4.7,overcast clouds
135,Irmo,US,34.086,-81.1832,58.71,73,1,6.91,clear sky
136,Nabire,ID,-3.3667,135.4833,86.4,60,71,3.29,broken clouds
137,Pevek,RU,69.7008,170.3133,7.99,95,100,3.96,overcast clouds
